sample-id,soil-collection-id,location,sublocation,latitude,longitude,soil-collection-date,dicty-pcr,dicty-sequence,dicty-species-id,dicty-haplotype,burkholderia-lepa-pcr,burkholderia-sequence-id
THA221,mm7c-1,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,heterostelium_pallidum,NA,1,achromobacter_sp_aonih1
THA222,mm4c-1,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,heterostelium_pallidum,NA,0,mycoavidus_cysteinexigens
THA223,mm9d-4,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,heterostelium_pallidum,2,1,collimonas_pratensis_strain_ter91
THA224,mm4a-3,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,heterostelium_pallidum,2,1,achromobacter_xylosoxidans
THA225,mm1d-1,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,heterostelium_pallidum,2,1,variovorax_boronicumulans
THA226,mm2d-1,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,heterostelium_pallidum,2,1,paraburkholderia_agricolaris
THA227,mm2b-6,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,heterostelium_pallidum,2,1,pandoraea_norimbergensis
THA228,mm3c-6,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,heterostelium_pallidum,1,0,paraburkholderia_terrae
THA229,mm7b-3,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,dictyostelium_purpureum,NA,0,NA
THA230,mm4a-2,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,dictyostelium_purpureum,NA,0,NA
THA232,dd2mm8b-1,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,dictyostelium_giganteum,NA,1,burkholderia_lata
THA233,dd2mm4b-1,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,dictyostelium_mucoroides,NA,1,achromobacter_deleyi
THA234,dd2mm3c-7,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,cavenderia_aureostipes,2,0,NA
THA235,dd2mm10d-1,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,dictyostelium_mucoroides,NA,0,NA
THA237,dd2mm9d-2,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,dictyostelium_giganteum,NA,0,NA
THA239,dd2mm2b-4,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,dictyostelium_mucoroides,NA,0,NA
THA240,dd2mm3a-2,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,dictyostelium_mucoroides,NA,1,NA
THA241,dd2mm2a-1,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,dictyostelium_mucoroides,NA,1,paraburkholderia_caledonica
THA242,dd2mm2b-1,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,dictyostelium_mucoroides,NA,1,NA
THA243,dd2mm2c-1,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,dictyostelium_mucoroides,NA,1,NA
THA244,dd2mm3c-5,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,dictyostelium_mucoroides,NA,1,NA
THA245,dd2mm3c-5,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,cavenderia_aureostipes,2,0,paraburkholderia_fungorum
THA246,dd2mm3a-4,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,polysphondylium_violaceum,NA,0,NA
THA249,mm3d-1,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,raperostelium_minutum,NA,1,mitsuaria_sp_7
THA250,mm3d-2,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,raperostelium_minutum,NA,0,NA
THA251,mm1b-1,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,raperostelium_minutum,NA,1,herbaspirillum_sp_meg3
THA252,mm10c-1,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,raperostelium_minutum,NA,0,NA
THA253,mm5b-2,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,raperostelium_minutum,NA,1,NA
THA255,mm3a-5,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,polysphondylium_violaceum,1,1,acidovorax_sp_gbbc_1281
THA256,mm3a-1,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,polysphondylium_violaceum,1,0,NA
THA257,mm1d-3,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,polysphondylium_violaceum,1,0,NA
THA258,mm1d-2,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,polysphondylium_violaceum,NA,0,NA
THA259,mm1c-3,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,polysphondylium_violaceum,NA,1,NA
THA260,mm4a-4,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,polysphondylium_violaceum,NA,1,paraburkholderia_xenovorans
THA261,mm3c-3,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,polysphondylium_violaceum,NA,1,NA
THA262,mm6a-2,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,polysphondylium_violaceum,NA,0,NA
THA263,mm1b-3,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,polysphondylium_violaceum,1,0,NA
THA264,mm6a-3,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,polysphondylium_violaceum,NA,0,NA
THA265,mm2d-2,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,polysphondylium_violaceum,NA,1,pandoraea_norimbergensis
THA266,mm10d-2,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,polysphondylium_violaceum,NA,0,NA
THA267,mm4c-2,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,polysphondylium_violaceum,NA,1,paraburkholderia_atlantica_ccge1002
THA268,mm7a-2,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,polysphondylium_violaceum,NA,1,NA
THA269,mm7a-3,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,polysphondylium_violaceum,NA,0,NA
THA270,mm7b-2,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,polysphondylium_violaceum,NA,1,NA
THA271,mm9d-3,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,polysphondylium_violaceum,NA,1,herbaspirillum_sp_meg3
THA272,mm7c-2,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,polysphondylium_violaceum,NA,0,NA
THA273,mm10a-1,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,polysphondylium_violaceum,NA,0,NA
THA274,mm10b-3,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,polysphondylium_violaceum,NA,0,NA
THA275,mm9c-2,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,polysphondylium_violaceum,NA,1,herbaspirillum_sp_meg3
THA276,mm9b-1,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,polysphondylium_violaceum,NA,1,pandoraea_fibrosis
THA277,mm1b-4,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,polysphondylium_violaceum,1,1,variovorax_boronicumulans
THA280,mm9d-1,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,cavenderia_aureostipes,4,1,burkholderia_sp_ido3
THA281,mm3c-7,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,cavenderia_aureostipes,2,0,NA
THA282,mm10d-3,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,polysphondylium_violaceum,1,0,NA
THA283,mm7d-3,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,polysphondylium_violaceum,1,0,NA
THA284,mm7d-2,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,polysphondylium_violaceum,1,1,variovorax_paradoxus
THA285,mm8d-3,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,polysphondylium_violaceum,1,0,NA
THA286,mm7d-1,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,polysphondylium_violaceum,1,0,NA
THA287,mm6d-1,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,dictyostelium_purpureum,1,0,NA
THA288,mm1b-2,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,dictyostelium_purpureum,1,0,NA
THA289,mm1c-2,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,dictyostelium_purpureum,1,0,NA
THA290,mm7c-3,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,dictyostelium_purpureum,3,0,NA
THA291,mm8d-2,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,dictyostelium_purpureum,NA,1,NA
THA292,mm8b-2,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,polysphondylium_violaceum,NA,0,NA
THA293,mm9b-2,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,dictyostelium_purpureum,3,1,collimonas_pratensis_strain_ter91
THA294,mm10a-2,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,polysphondylium_violaceum,1,0,NA
THA295,mm9c-4,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,dictyostelium_purpureum,1,0,NA
THA296,mm9b-3,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,dictyostelium_purpureum,3,1,paraburkholderia_agricolaris
THA297,mm10a-3,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,dictyostelium_purpureum,1,0,NA
THA298,mm4a-1,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,polysphondylium_violaceum,1,1,paraburkholderia_xenovorans
THA299,mm4b-2,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,yes,polysphondylium_violaceum,1,0,NA
THA300,mm3d-4,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,polysphondylium_violaceum,NA,0,NA
THA301,mm3d-3,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,polysphondylium_violaceum,NA,0,NA
THA302,mm4a-5,mt_magazine,mt_magazine,35.16762346,-93.64491324,12/26/17,1,no,polysphondylium_violaceum,NA,0,NA
THA501,lbl_f1-pa1,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,yes,heterostelium_pallidum,2,1,paraburkholderia_agricolaris
THA502,lbl_f1-pa2,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,heterostelium_pallidum,NA,1,paraburkholderia_fungorum
THA503,lbl_f1-vio1,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,polysphondylium_violaceum,NA,1,paraburkholderia_agricolaris
THA504,lbl_f1-vio2,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,polysphondylium_violaceum,NA,1,paraburkholderia_agricolaris
THA505,lbl_f1-gig,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,dictyostelium_giganteum,NA,1,paraburkholderia_phenazinium
THA506,lbl_f2-pa1,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,heterostelium_pallidum,NA,1,NA
THA507,lbl_f2-pa2,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,heterostelium_pallidum,NA,1,caballeronia_glathei
THA508,lbl_f2-gig,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,dictyostelium_giganteum,NA,1,achromobacter_deleyi
THA509,lbl_f4-pa1,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,heterostelium_pallidum,NA,1,paraburkholderia_fungorum
THA510,lbl_f4-pa2,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,heterostelium_pallidum,NA,1,paraburkholderia_xenovorans
THA511,lbl_f4-dd,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,yes,heterostelium_pallidum,1,1,caballerionia_sp_the68
THA512,lbl_f4-dd,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,heterostelium_pallidum,NA,1,paraburkholderia_phenazinium
THA513,lbl_f3-pa1,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,heterostelium_pallidum,NA,1,paraburkholderia_agricolaris
THA514,lbl_f3-gig,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,dictyostelium_giganteum,NA,1,paraburkholderia_fungorum
THA515,lbl_f3-vio,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,polysphondylium_violaceum,NA,1,paraburkholderia_phenazinium
THA516,lbl_f3-pa2,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,heterostelium_pallidum,NA,1,NA
THA517,lbl_f5-pa,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,heterostelium_pallidum,NA,0,NA
THA518,lbl_f5-vio1,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,polysphondylium_violaceum,NA,0,NA
THA519,lbl_c5-purp,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,dictyostelium_purpureum,NA,1,burkholderia_cepacia
THA520,lbl_c5-purp,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,dictyostelium_purpureum,NA,1,achromobacter_deleyi
THA521,lbl_c5-purp,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,dictyostelium_purpureum,NA,1,burkholderia_cepacia
THA522,lbl_c5-pa,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,heterostelium_pallidum,NA,1,burkholderia_cepacia
THA523,lbl_c5-pa,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,heterostelium_pallidum,NA,1,burkholderia_cepacia
THA524,lbl_c2-purp,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,dictyostelium_purpureum,NA,1,burkholderia_cepacia
THA525,lbl_e1-dd1,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,dictyostelium_mucoroides,NA,0,NA
THA526,lbl_e1-dd2,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,yes,dictyostelium_mucoroides,NA,1,caballerionia_sp_tf1n1
THA527,lbl_e1-dd,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,dictyostelium_mucoroides,NA,0,NA
THA528,lbl_e1-gig1,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,yes,dictyostelium_giganteum,NA,0,NA
THA529,lbl_e1-vio1,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,polysphondylium_violaceum,NA,1,herbaspirillum_sp_meg3
THA530,lbl_e1-min1,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,yes,heterostelium_pallidum,1,1,NA
THA531,lbl_e1-pa1,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,heterostelium_pallidum,NA,0,NA
THA532,lbl_e4-dd4,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,yes,dictyostelium_mucoroides,NA,1,herbaspirillum_hiltneri
THA533,lbl_e4-dd5,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,dictyostelium_mucoroides,NA,0,NA
THA534,lbl_e4-min2,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,yes,cavenderia_aureostipes,2,0,NA
THA535,lbl_e4-pa2,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,yes,heterostelium_pallidum,3,0,NA
THA536,lbl_e4-dd6,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,yes,dictyostelium_mucoroides,NA,0,NA
THA537,lbl_e4-pa3,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,heterostelium_pallidum,NA,0,NA
THA538,lbl_e3-dd7,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,dictyostelium_mucoroides,NA,0,NA
THA539,lbl_e3-vio2,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,polysphondylium_violaceum,NA,0,NA
THA540,lbl_e3-dd8,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,yes,dictyostelium_mucoroides,NA,0,NA
THA541,lbl_e3-dd9,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,dictyostelium_mucoroides,NA,0,NA
THA542,lbl_e3-dd10,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,yes,dictyostelium_mucoroides,NA,0,NA
THA543,lbl_e3-pa4,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,heterostelium_pallidum,NA,1,NA
THA544,lbl_e3vio3,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,polysphondylium_violaceum,NA,1,NA
THA545,lbl_e5-pa5,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,heterostelium_pallidum,NA,0,NA
THA546,lbl_e5-pa6,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,heterostelium_pallidum,NA,0,NA
THA547,lbl_e5-pa7,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,heterostelium_pallidum,NA,0,NA
THA548,lbl_e5-pa8,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,heterostelium_pallidum,NA,0,NA
THA554,lbl_e2-pa9,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,heterostelium_pallidum,NA,0,NA
THA555,lbl_e2-pa10,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,heterostelium_pallidum,NA,0,NA
THA556,lbl_e2-pa11,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,heterostelium_pallidum,NA,0,NA
THA557,lbl_c2-viol,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,polysphondylium_violaceum,NA,1,burkholderia_cepacia
THA558,lbl_c2-viol,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,polysphondylium_violaceum,NA,1,burkholderia_cepacia
THA559,lbl_c2-,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,yes,dictyostelium_mucoroides,NA,1,burkholderia_cepacia
THA560,lbl_c2-pa,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,heterostelium_pallidum,NA,1,burkholderia_cepacia
THA561,lbl_c2-pa,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,heterostelium_pallidum,NA,1,burkholderia_cepacia
THA562,lbl_c2-pa,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,heterostelium_pallidum,NA,1,burkholderia_cepacia
THA563,lbl_c2-purp,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,dictyostelium_purpureum,NA,1,burkholderia_cepacia
THA564,lbl_c2-purp,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,dictyostelium_purpureum,NA,1,burkholderia_cepacia
THA565,lbl_c1-,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,yes,dictyostelium_mucoroides,NA,1,burkholderia_cepacia
THA566,lbl_c1-,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,yes,dictyostelium_mucoroides,NA,1,burkholderia_cepacia
THA567,lbl_c1-purp,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,dictyostelium_purpureum,NA,0,burkholderia_cepacia
THA568,lbl_c1-purp,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,yes,dictyostelium_purpureum,1,1,burkholderia_cepacia
THA569,lbl_c1-pa,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,heterostelium_pallidum,NA,0,burkholderia_cepacia
THA570,lbl_c1-purp,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,dictyostelium_purpureum,NA,1,burkholderia_cepacia
THA571,lbl_c4-purp,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,no,dictyostelium_purpureum,NA,1,burkholderia_cepacia
THA572,lbl_c4-,land_between_the_lakes_ky,land_between_the_lakes_ky,36.7768,-88.0538,12/1/19,1,yes,dictyostelium_mucoroides,NA,1,burkholderia_cepacia
THA601,bpc1,little_rock,burns_park,34.79640027,-92.31343666,2/19/19,1,no,polysphondylium_violaceum,NA,0,NA
THA602,bpc1,little_rock,burns_park,34.79640027,-92.31343666,2/19/19,1,yes,heterostelium_pallidum,1,0,NA
THA604,bpc2,little_rock,burns_park,34.79640027,-92.31343666,2/19/19,1,no,polysphondylium_violaceum,NA,0,NA
THA605,bpc2,little_rock,burns_park,34.79640027,-92.31343666,2/19/19,1,no,polysphondylium_violaceum,NA,0,NA
THA606,bpc2,little_rock,burns_park,34.79640027,-92.31343666,2/19/19,1,no,dictyostelium_giganteum,NA,0,NA
THA607,bpc2,little_rock,burns_park,34.79640027,-92.31343666,2/19/19,1,no,heterostelium_pallidum,NA,0,NA
THA608,bpc2,little_rock,burns_park,34.79640027,-92.31343666,2/19/19,1,no,heterostelium_pallidum,NA,0,NA
THA609,bpc2,little_rock,burns_park,34.79640027,-92.31343666,2/19/19,1,no,heterostelium_pallidum,NA,1,paraburkholderia_fungorum
THA610,bpc2,little_rock,burns_park,34.79640027,-92.31343666,2/19/19,1,yes,polysphondylium_violaceum,3,1,NA
THA611,bpc4,little_rock,burns_park,34.79640027,-92.31343666,2/19/19,1,yes,polysphondylium_violaceum,3,0,NA
THA612,bpc4,little_rock,burns_park,34.79640027,-92.31343666,2/19/19,1,yes,dictyostelium_giganteum,NA,0,NA
THA613,bpc4,little_rock,burns_park,34.79640027,-92.31343666,2/19/19,1,no,heterostelium_pallidum,NA,0,NA
THA614,bpc4,little_rock,burns_park,34.79640027,-92.31343666,2/19/19,1,no,heterostelium_pallidum,NA,0,NA
THA615,bpc4,little_rock,burns_park,34.79640027,-92.31343666,2/19/19,1,no,heterostelium_pallidum,NA,0,NA
THA616,bpa1,little_rock,burns_park,34.79640027,-92.31343666,2/19/19,1,no,dictyostelium_giganteum,NA,0,NA
THA617,bpa1,little_rock,burns_park,34.79640027,-92.31343666,2/19/19,1,yes,dictyostelium_giganteum,NA,0,NA
THA618,bpa2,little_rock,burns_park,34.79640027,-92.31343666,2/19/19,1,no,dictyostelium_giganteum,NA,0,NA
THA619,bpa2,little_rock,burns_park,34.79640027,-92.31343666,2/19/19,1,no,dictyostelium_giganteum,NA,1,NA
THA620,bpa2,little_rock,burns_park,34.79640027,-92.31343666,2/19/19,1,yes,dictyostelium_unclassified,NA,0,NA
THA621,bpa3,little_rock,burns_park,34.79640027,-92.31343666,2/19/19,1,no,dictyostelium_giganteum,NA,1,paraburkholderia_fungorum
THA622,bpa3,little_rock,burns_park,34.79640027,-92.31343666,2/19/19,1,no,dictyostelium_giganteum,NA,1,paraburkholderia_fungorum
THA623,bpa3,little_rock,burns_park,34.79640027,-92.31343666,2/19/19,1,no,dictyostelium_giganteum,NA,0,NA
THA624,bpa4,little_rock,burns_park,34.79640027,-92.31343666,2/19/19,1,yes,dictyostelium_unclassified,NA,0,NA
THA625,bpa4,little_rock,burns_park,34.79640027,-92.31343666,2/19/19,1,yes,heterostelium_pallidum,2,0,NA
THA626,bpa4,little_rock,burns_park,34.79640027,-92.31343666,2/19/19,1,yes,heterostelium_pallidum,2,0,NA
THA627,bpa4,little_rock,burns_park,34.79640027,-92.31343666,2/19/19,1,no,polysphondylium_violaceum,NA,0,NA
THA628,bpa4,little_rock,burns_park,34.79640027,-92.31343666,2/19/19,1,no,heterostelium_pallidum,NA,1,paraburkholderia_agricolaris
